Raw Sensor Values 	 red: 540	 green: 385	 blue: 360
Mapped Sensor Values 	 red: 135	 green: 96	 blue: 90
Raw Sensor Values 	 red: 525	 green: 363	 blue: 412
Mapped Sensor Values 	 red: 131	 green: 90	 blue: 103
Raw Sensor Values 	 red: 574	 green: 365	 blue: 377
Mapped Sensor Values 	 red: 143	 green: 91	 blue: 94
Raw Sensor Values 	 red: 502	 green: 387	 blue: 388
Mapped Sensor Values 	 red: 125	 green: 96	 blue: 97
Raw Sensor Values 	 red: 577	 green: 336	 blue: 418
Mapped Sensor Values 	 red: 144	 green: 84	 blue: 104
Raw Sensor Values 	 red: 539	 green: 387	 blue: 369
Mapped Sensor Values 	 red: 134	 green: 96	 blue: 92
Raw Sensor Values 	 red: 534	 green: 361	 blue: 413
Mapped Sensor Values 	 red: 133	 green: 90	 blue: 103
Raw Sensor Values 	 red: 555	 green: 381	 blue: 365
Mapped Sensor Values 	 red: 138	 green: 95	 blue: 91
Raw Sensor Values 	 red: 506	 green: 374	 blue: 401
Mapped Sensor Values 	 red: 126	 green: 93	 blue: 100
Raw Sensor Values 	 red: 579	 green: 354	 blue: 389
Mapped Sensor Values 	 red: 144	 green: 88	 blue: 97
Raw Sensor Values 	 red: 525	 green: 389	 blue: 378
Mapped Sensor Values 	 red: 131	 green: 97	 blue: 94
Raw Sensor Values 	 red: 552	 green: 350	 blue: 416
Mapped Sensor Values 	 red: 138	 green: 87	 blue: 104
Raw Sensor Values 	 red: 543	 green: 388	 blue: 361
Mapped Sensor Values 	 red: 135	 green: 97	 blue: 90
Raw Sensor Values 	 red: 524	 green: 365	 blue: 413
Mapped Sensor Values 	 red: 131	 green: 91	 blue: 103
Raw Sensor Values 	 red: 582	 green: 364	 blue: 382
Mapped Sensor Values 	 red: 145	 green: 91	 blue: 95
Raw Sensor Values 	 red: 505	 green: 392	 blue: 386
Mapped Sensor Values 	 red: 126	 green: 98	 blue: 96
Raw Sensor Values 	 red: 575	 green: 337	 blue: 421
Mapped Sensor Values 	 red: 143	 green: 84	 blue: 105
Raw Sensor Values 	 red: 536	 green: 386	 blue: 363
Mapped Sensor Values 	 red: 134	 green: 96	 blue: 90
Raw Sensor Values 	 red: 536	 green: 358	 blue: 414
Mapped Sensor Values 	 red: 134	 green: 89	 blue: 103
Raw Sensor Values 	 red: 565	 green: 373	 blue: 370
Mapped Sensor Values 	 red: 141	 green: 93	 blue: 92
Raw Sensor Values 	 red: 502	 green: 380	 blue: 398
Mapped Sensor Values 	 red: 125	 green: 95	 blue: 99
Raw Sensor Values 	 red: 583	 green: 333	 blue: 410
Mapped Sensor Values 	 red: 145	 green: 83	 blue: 102
Raw Sensor Values 	 red: 532	 green: 388	 blue: 377
